,headline,category,authors,date,topic
0,‘Beautiful And Sad At The Same Time’: Ukrainian Cultural Festival Takes On A Deeper Meaning This Year,POLITICS,Jonathan Nicholson,2022-09-19,rep
1,Biden Says Queen's Death Left 'Giant Hole' For Royal Family,POLITICS,"Darlene Superville, AP",2022-09-18,biden
2,Bill To Help Afghans Who Escaped Taliban Faces Long Odds In The Senate,POLITICS,Hamed Ahmadi and Arthur Delaney,2022-09-16,biden
3,Mark Meadows Complies With Justice Dept. Subpoena: Report,POLITICS,"ERIC TUCKER, AP",2022-09-15,rep
4,Democrats Nominate Seth Magaziner In Key Rhode Island House Race,POLITICS,Daniel Marans,2022-09-14,democrats
5,Joe Biden Urges National Unity In Speech On Renewed ‘Cancer Moonshot’,POLITICS,Nick Visser,2022-09-13,biden
6,Sen. Tim Scott Downplays Electability Concerns Over Struggling Senate GOP Candidates,POLITICS,Marita Vlachou,2022-09-12,election
7,Electability Is On The Ballot In Key Rhode Island House Primary,POLITICS,Daniel Marans,2022-09-12,election
8,"In A Nod To JFK, Joe Biden Pushing 'Moonshot' To Fight Cancer",POLITICS,"Zeke Miller and Carla K. Johnson, AP",2022-09-12,biden
9,"Biden Honors 9/11 Victims, Vows Commitment To Thwart Terror",POLITICS,"COLLEEN LONG and AAMER MADHANI, AP",2022-09-11,biden
10,"US, Trump Team Propose Names For Arbiter In Mar-A-Lago Probe",POLITICS,"Eric Tucker and Nomaan Merchant, AP",2022-09-10,rep
11,"Politician's DNA Connected To Las Vegas Journalist’s Murder, Police Say",POLITICS,Sanjana Karanth,2022-09-08,rep
12,Michigan Supreme Court Revives Abortion Rights Amendment For November's Ballot,POLITICS,Jonathan Cohn,2022-09-08,election
13,Portland Residents With Disabilities Sue Over City's Blocked Sidewalks,POLITICS,"Claire Rush, AP",2022-09-08,rep
14,The Unemployment Insurance System Is Not Ready For The Next Recession,POLITICS,Arthur Delaney,2022-09-07,rep
15,Michigan Secretary of State Worried About ‘Violence And Disruption’ Going Into Midterms,POLITICS,Nick Visser,2022-09-05,election
16,Uvalde Fourth Graders Waited An Hour With Wounded Teacher,POLITICS,"ACACIA CORONADO, AP",2022-09-05,biden
17,Trump-Endorsed Wisconsin Gubernatorial Candidate Tells Voters To Take Up Pitchforks,POLITICS,"By SCOTT BAUER, AP",2022-09-04,trump
18,Former White House Counsel Pat Cipollone To Testify Before Grand Jury: Reports,POLITICS,Marita Vlachou,2022-09-02,court
19,Rep. Jim Jordan's Judiciary Twitter Account Finds 'Threat' In Pic Of Docs At Trump Home,POLITICS,Ben Blanchet,2022-08-31,republicans
20,Mikhail Gorbachev's 1998 Pizza Hut Ad Resurfaces After His Death,POLITICS,David Moye,2022-08-31,rep
21,Republicans Ignore Trump's Hoarding Of Classified Documents,POLITICS,Igor Bobic,2022-08-31,republicans
22,‘Fox & Friends’ Host Questions Why Trump Kept Classified Documents At Mar-A-Lago,POLITICS,Sanjana Karanth,2022-08-31,trump
23,Stocks Dive For Truth Social SPAC Amid Merger Delay,POLITICS,Mary Papenfuss,2022-08-30,rep
24,Secret Service Official And Ex-Trump Aide Tony Ornato Retires Amid Jan. 6 Probe,POLITICS,Nina Golgowski,2022-08-30,rep
25,House Members Are Using A Controversial Tool To Keep Campaigning. Has It Gone Too Far?,POLITICS,Jonathan Nicholson,2022-08-29,rep
26,Lindsey Graham Warns Of 'Riots In Streets' If Trump Is Charged Over Classified Docs,POLITICS,Mary Papenfuss,2022-08-29,rep
27,Kash Patel Says His Life's In Danger Because He's In FBI Affidavit,POLITICS,Mary Papenfuss,2022-08-28,rep
28,FBI Probing Russian-Speaking Fake Heiress Who Infiltrated Mar-A-Lago: Report,POLITICS,Mary Papenfuss,2022-08-28,rep
29,Don Jr. Posts 'Dick Pic' Of Dad After Affidavit Release: 'Redact This!',POLITICS,Mary Papenfuss,2022-08-27,donald
30,Trump Attorneys File Do-Over Motion Regarding Mar-A-Lago Search,POLITICS,Mary Papenfuss,2022-08-27,trump
31,Jared Kushner Blasts 'Nasty Troll' Chrissy Teigen For Attacks On Ivanka,POLITICS,Mary Papenfuss,2022-08-27,rep
32,Mar-A-Lago Search Affidavit: Trump Was Insecurely Storing Most Sensitive Intel At Club,POLITICS,S.V. Date,2022-08-26,rep
33,"Donald Trump's Truth Social Reportedly Faces Major Money, Trademark Woes",POLITICS,Mary Papenfuss,2022-08-26,trump
34,Judge Temporarily Blocks North Dakota Trigger Law Banning Abortion,POLITICS,"Dave Kolpack, AP",2022-08-25,court
35,Gov. Brian Kemp Fights Subpoena In Georgia Election Probe,POLITICS,"Kate Brumback, AP",2022-08-25,election
36,"Dan Goldman, Narrowly Leading In New York Democratic Primary, Declares Victory",POLITICS,Daniel Marans,2022-08-24,democrats
37,Markwayne Mullin Wins Oklahoma Republican Primary To Succeed GOP Sen. Jim Inhofe,POLITICS,Jonathan Nicholson,2022-08-24,election
38,Charlie Crist Wins Chance To Take On Florida Gov. Ron DeSantis And His $132 Million,POLITICS,S.V. Date,2022-08-24,rep
39,IRS Launches Safety Review Amid Threats To Workers Linked To Conspiracy Theories,POLITICS,"FATIMA HUSSEIN, AP",2022-08-24,rep
40,Student Loan Borrowers Await Biden Plan On Debt Forgiveness,POLITICS,"Seung Min Kim, Michael Balsamo, Chris Megerian and Zeke Miller, AP",2022-08-24,biden
41,Rusty Bowers Rips 'Fascism' Of GOP And Trump's Strong-Arm Tactics To Trash Vote,POLITICS,Mary Papenfuss,2022-08-23,vote
42,"After Delay, Biden Readies Student Loan Help, Payment Pause",POLITICS,"Seung Min Kim, Michael Balsamo and Chris Megerian, AP",2022-08-23,biden
43,This Is The Bittersweet Part Of Democrats' Sweet Legislative Victory,POLITICS,Jonathan Cohn,2022-08-22,democrats
44,"Gas Prices Are Falling, But Global Events Could Cause Increase, Energy Secretary Warns",POLITICS,Marita Vlachou,2022-08-22,rep
45,"Judge Won't Block Georgia Ban On Bringing Food, Water To Voters In Line",POLITICS,"Kate Brumback, AP",2022-08-20,court
46,Mike Pence Says He Did Not Take Classified Documents When He Left Office,POLITICS,"Thomas Beaumont, AP",2022-08-20,rep
47,Mitch McConnell Gives Downbeat Forecast On GOP Winning Senate,POLITICS,Marita Vlachou,2022-08-19,republicans
48,Media To Ask Judge To Release Trump Search Warrant Affidavit,POLITICS,"Terry Spencer, AP",2022-08-18,trump
49,CDC Director To Overhaul Agency With COVID Shortcomings In Mind,POLITICS,"Mike Stobbe, AP",2022-08-17,rep
50,Planned Parenthood To Spend Record $50 Million For Midterms,POLITICS,"Brian Slodysko, AP",2022-08-17,election
51,NBA Won't Host Election Day Games In Effort To Increase Voter Turnout,POLITICS,Lydia O'Connor,2022-08-16,election
52,"Lindsey Graham Must Testify In Georgia Election Probe, Judge Says",POLITICS,"KATE BRUMBACK, AP",2022-08-15,court
53,Sinema Took Wall Street Money While Killing Tax On Investors,POLITICS,"Brian Slodysko, AP",2022-08-13,rep
54,"Over $2 Billion Announced For Roads, Bridges, Bike Lanes Across U.S.",POLITICS,"Terry Tang and David A. Lieb, AP",2022-08-12,biden
55,Democrats’ Inflation Reduction Act Expected To Do Little To Reduce Inflation,POLITICS,Jonathan Nicholson,2022-08-12,democrats
56,"As Joe Biden Wins Mount, 2024 Doubts Ease For Top House Dems",POLITICS,Marita Vlachou,2022-08-10,democrats
57,Why The Justice Department Can’t Say More About The Mar-A-Lago Raid,POLITICS,Kevin Robillard,2022-08-09,rep
58,Trump Said Wounded Veterans In Military Parades Didn’t 'Look Good' For Him: Book,POLITICS,Elyse Wanshel,2022-08-08,trump
59,Lindsey Graham Scolded For Senate Outburst At Maggie Hassan,POLITICS,Ron Dicker,2022-08-08,rep
60,"‘Come On, Bernie!’ Why Democrats Left Child Tax Credit Out Of The Inflation Reduction Act",POLITICS,Arthur Delaney,2022-08-08,democrats
61,"57 Votes in the Senate: Enough For Private Equity, Not Enough For Diabetics",POLITICS,Kevin Robillard,2022-08-08,vote
62,Biden Expresses Solidarity With Muslim Community After Albuquerque Killings,POLITICS,Nina Golgowski,2022-08-07,rep
63,This Is The Most Underappreciated Part Of The Democratic Prescription Drug Bill,POLITICS,Jonathan Cohn,2022-08-06,democrats
64,GOP Senators Refuse To Rule Out Supporting Donald Trump Again — Even If He's Indicted,POLITICS,Jonathan Nicholson,2022-08-06,republicans
65,CPAC Has A Special Exhibit: A Sobbing Jan. 6 Rioter In Jail,POLITICS,Ryan Grenoble,2022-08-05,capitol
66,"Senate Republicans Fold, Help Pass Veterans Health Bill After Blocking It",POLITICS,Jennifer Bendery,2022-08-02,republicans
67,Arizona's Rusty Bowers Comes Out Against A 2024 Trump Bid,POLITICS,Marita Vlachou,2022-08-01,rep
68,Challenger Suraj Patel’s Poll Shows Tightening Race In Key New York Primary,POLITICS,Daniel Marans,2022-08-01,election
69,Vulnerable House Dems See Abortion As Winning Campaign Theme,POLITICS,"Thomas Beaumont, AP",2022-07-31,democrats
70,Ex-DHS Aide Suggests She 'Went Very Public' Because She Didn't Trust Inspector General,POLITICS,Marco Margaritoff,2022-07-30,rep
71,DHS Watchdog Fails To Notify Congress Over Missing Jan. 6 Texts Of 2 Trump Officials,POLITICS,Marita Vlachou,2022-07-29,biden
72,Alabama Official Told Reporter Her Skirt Was Too Short To Witness An Execution,POLITICS,Jessica Schulberg,2022-07-29,rep
73,Democrats' Reconciliation Package The 'Biggest Climate Action In Human History',POLITICS,Chris D'Angelo,2022-07-28,democrats
74,Deputy Kills Unarmed Black Man After Alleged Shoplifting From Houston Dollar General,POLITICS,Phillip Jackson,2022-07-27,rep
75,GOP Sen. Joni Ernst Blocks Bill Protecting Right To Birth Control,POLITICS,Igor Bobic,2022-07-27,republicans
76,Rep. Marjorie Taylor Greene Is Eligible To Run For Reelection: Judge,POLITICS,"Kate Brumback, AP",2022-07-26,rep
77,"Steve Bannon Calls On '4,000 Shock Troops' To 'Deconstruct' The Government 'Brick By Brick'",POLITICS,Mary Papenfuss,2022-07-26,biden
78,Political Ad Shows Doctor Asking Texas Gov. Greg Abbott If He'll Allow An Abortion,POLITICS,David Moye,2022-07-25,rep
79,"Biden Improves 'Significantly,' Throat Still Sore From COVID",POLITICS,"CHRIS MEGERIAN, AP",2022-07-24,rep
80,Josh Hawley's Home State Newspaper Chides Him As 'Laughingstock',POLITICS,Mary Papenfuss,2022-07-24,rep
81,Kari Lake Walked Away From A Career In Journalism. Now She's Running For Governor By Bashing The Media.,POLITICS,Liz Skalka,2022-07-22,election
82,195 House Republicans Voted Against Birth Control Protections,POLITICS,Alanna Vagianos,2022-07-21,vote
83,"Herschel Walker Is A Messy Candidate, But The Georgia Senate Race Is Still A Toss-Up",POLITICS,Nathalie Baptiste,2022-07-21,election
84,Appeals Court Allows Georgia Abortion Law To Take Effect,POLITICS,"KATE BRUMBACK and JEFF AMY, AP",2022-07-20,court
85,Biden Takes Modest Executive Action After Climate Agenda Stalls In Congress,POLITICS,Chris D'Angelo,2022-07-20,biden
86,"Secret Service Can't Recover Jan. 6 Texts, National Archives Wants Probe",POLITICS,Ryan Grenoble,2022-07-19,biden
87,Jury Selection Begins In Trial Of Ex-Trump Adviser Steve Bannon,POLITICS,"Gary Fields, Ashraf Khalil, AP",2022-07-18,court
88,4 Killed After Gunman Opens Fire In Indiana Mall Food Court,POLITICS,"Associated Press, AP",2022-07-18,court
89,Republicans Begin To Sour On Aid To Ukraine,POLITICS,Jonathan Nicholson,2022-07-18,republicans
90,Republican Senate Candidate Charged With Making False Child Trafficking Allegations,POLITICS,Marita Vlachou,2022-07-18,republicans
91,Former FDA Commissioner: U.S. Has Probably ‘Failed To Contain’ Monkeypox,POLITICS,Nick Visser,2022-07-18,rep
92,Ohio Girl's Abortion Doctor Once Targeted In Vicious Kidnapping Threat: Report,POLITICS,Mary Papenfuss,2022-07-17,rep
93,Trump-Supporting GOP Congressman Faces Election Fraud Accusations,POLITICS,Ben Blanchet,2022-07-17,republicans
