,source,target,relationship,type,label
0,ACACIA CORONADO,BUSINESS,covers,explicit,no change
1,ACACIA CORONADO,CRIME,covers,explicit,no change
2,ACACIA CORONADO,POLITICS,covers,explicit,no change
3,ACACIA CORONADO,SPORTS,covers,explicit,no change
4,ANTHONY IZAGUIRRE,POLITICS,covers,implicit,no change
5,Aakriti Bhalla,POLITICS,covers,implicit,no change
6,Aamer Madhani,POLITICS,covers,implicit,no change
7,Acacia Coronado,POLITICS,covers,implicit,no change
8,Akbar Shahid Ahmed,POLITICS,covers,implicit,no change
9,Alan Fram,POLITICS,covers,implicit,no change
10,Alanna Durkin R,CRIME,covers,implicit,no change
11,Alanna Vagianos,BUSINESS,covers,explicit,no change
12,Alanna Vagianos,CRIME,covers,explicit,no change
13,Alanna Vagianos,POLITICS,covers,explicit,no change
14,Alanna Vagianos,SPORTS,covers,explicit,no change
15,Alexander C. Kaufman,BUSINESS,covers,implicit,no change
16,Alexander C. Kaufman,POLITICS,covers,implicit,no change
17,Alexandra Jaffe,POLITICS,covers,implicit,no change
18,Amanda Terkel,POLITICS,covers,implicit,no change
19,Amy Taxin,POLITICS,covers,implicit,no change
20,Andrew DeMillo,POLITICS,covers,implicit,no change
21,Andrew Heavens,POLITICS,covers,implicit,no change
22,Andrew Welsh-Huggins,POLITICS,covers,implicit,no change
23,Andy Campbell,BUSINESS,covers,explicit,no change
24,Andy Campbell,CRIME,covers,explicit,no change
25,Andy Campbell,POLITICS,covers,explicit,no change
26,Andy Campbell,SPORTS,covers,explicit,no change
27,Angela Moore,POLITICS,covers,implicit,no change
28,Ariel Edwards-Levy,POLITICS,covers,implicit,no change
29,Arthur Delaney,BUSINESS,covers,explicit,no change
30,Arthur Delaney,CRIME,covers,explicit,no change
31,Arthur Delaney,POLITICS,covers,explicit,no change
32,Arthur Delaney,SPORTS,covers,explicit,no change
33,Ashraf Khalil,POLITICS,covers,implicit,no change
34,Associated Press,BUSINESS,covers,explicit,no change
35,Associated Press,CRIME,covers,explicit,no change
36,Associated Press,POLITICS,covers,explicit,addition
37,Associated Press,SPORTS,covers,explicit,no change
38,BRIAN MELLEY,CRIME,covers,implicit,no change
39,BRIAN SLODYSKO,POLITICS,covers,implicit,no change
40,Baseball,ACACIA CORONADO,is written by,explicit,no change
41,Baseball,Alanna Vagianos,is written by,explicit,no change
42,Baseball,Andy Campbell,is written by,explicit,no change
43,Baseball,Arthur Delaney,is written by,explicit,no change
44,Baseball,Associated Press,is written by,explicit,no change
45,Baseball,Ben Blanchet,is written by,explicit,no change
46,Baseball,Bernie Wilson,is written by,implicit,no change
47,Baseball,Brian Slodysko,is written by,explicit,no change
48,Baseball,CHRIS MEGERIAN,is written by,explicit,no change
49,Baseball,Chris D'Angelo,is written by,explicit,no change
50,Baseball,Daniel Marans,is written by,explicit,no change
51,Baseball,Dave Jamieson,is written by,explicit,addition
52,Baseball,David Moye,is written by,explicit,no change
53,Baseball,Ed Mazza,is written by,explicit,no change
54,Baseball,Elyse Wanshel,is written by,explicit,no change
55,Baseball,Eric Tucker,is written by,explicit,no change
56,Baseball,FARNOUSH AMIRI,is written by,explicit,no change
57,Baseball,HOWARD FENDRICH,is written by,explicit,no change
58,Baseball,Hilary Hanson,is written by,explicit,no change
59,Baseball,Howard Fendrich,is written by,explicit,no change
60,Baseball,Igor Bobic,is written by,explicit,no change
61,Baseball,Jennifer Bendery,is written by,explicit,no change
62,Baseball,Jessica Schulberg,is written by,explicit,no change
63,Baseball,Jill Colvin,is written by,explicit,no change
64,Baseball,Jonathan Cohn,is written by,explicit,no change
65,Baseball,Jonathan Nicholson,is written by,explicit,no change
66,Baseball,Josephine Harvey,is written by,implicit,no change
67,Baseball,Kate Brumback,is written by,explicit,no change
68,Baseball,Kevin Robillard,is written by,explicit,no change
69,Baseball,Liz Skalka,is written by,explicit,no change
70,Baseball,Lydia O'Connor,is written by,explicit,no change
71,Baseball,Marita Vlachou,is written by,explicit,no change
72,Baseball,Mary Papenfuss,is written by,explicit,no change
73,Baseball,Michael R. Sisak,is written by,explicit,no change
74,Baseball,Nathalie Baptiste,is written by,explicit,no change
75,Baseball,Nick Visser,is written by,explicit,no change
76,Baseball,Nina Golgowski,is written by,explicit,no change
77,Baseball,Phillip Jackson,is written by,explicit,no change
78,Baseball,Ron Dicker,is written by,explicit,no change
79,Baseball,Ronald Blum,is written by,implicit,no change
80,Baseball,Ryan Grenoble,is written by,explicit,no change
81,Baseball,S.V. Date,is written by,explicit,no change
82,Baseball,Sanjana Karanth,is written by,explicit,no change
83,Baseball,Sara Boboltz,is written by,explicit,no change
84,Baseball,Terry Spencer,is written by,explicit,no change
85,Baseball,Zeke Miller,is written by,explicit,no change
86,Ben Blanchet,BUSINESS,covers,explicit,no change
87,Ben Blanchet,CRIME,covers,explicit,no change
88,Ben Blanchet,POLITICS,covers,explicit,no change
89,Ben Blanchet,SPORTS,covers,explicit,addition
90,Bernie Wilson,SPORTS,covers,implicit,no change
91,Bill Barrow,POLITICS,covers,implicit,no change
92,Bill Bradley,SPORTS,covers,implicit,no change
93,Brian Slodysko,BUSINESS,covers,explicit,no change
94,Brian Slodysko,CRIME,covers,explicit,no change
95,Brian Slodysko,POLITICS,covers,explicit,no change
96,Brian Slodysko,SPORTS,covers,explicit,no change
97,By CASEY SMITH,POLITICS,covers,implicit,no change
98,By Colleen Long,POLITICS,covers,implicit,no change
99,By Mark Sherman,POLITICS,covers,implicit,no change
100,CHRIS MEGERIAN,BUSINESS,covers,explicit,no change
101,CHRIS MEGERIAN,CRIME,covers,explicit,no change
102,CHRIS MEGERIAN,POLITICS,covers,explicit,no change
103,CHRIS MEGERIAN,SPORTS,covers,explicit,no change
104,CHRISTOPHER RUGABER,POLITICS,covers,implicit,no change
105,Cara Anna,POLITICS,covers,implicit,no change
106,Carol Kuruvilla,POLITICS,covers,implicit,no change
107,Caroline Spiezio,POLITICS,covers,implicit,no change
108,Carolyn Thompson,CRIME,covers,implicit,no change
109,Charles Odum,SPORTS,covers,implicit,no change
110,Chris D'Angelo,BUSINESS,covers,explicit,no change
111,Chris D'Angelo,CRIME,covers,explicit,no change
112,Chris D'Angelo,POLITICS,covers,explicit,no change
113,Chris D'Angelo,SPORTS,covers,explicit,no change
114,Christopher Mathias,POLITICS,covers,implicit,no change
115,Christopher Rugaber,BUSINESS,covers,implicit,no change
116,Christopher Rugaber,POLITICS,covers,implicit,no change
117,Colleen Long,POLITICS,covers,implicit,no change
118,Collin Binkley,POLITICS,covers,implicit,no change
119,Curt Anderson,POLITICS,covers,implicit,no change
