,source,target,relationship
0,Ryan Grenoble,POLITICS,covers
1,Zeke Miller,POLITICS,covers
2,basketball,Hilary Hanson,is written by
3,basketball,Ron Dicker,is written by
4,basketball,Nick Visser,is written by
5,basketball,Mary Papenfuss,is written by
6,Kevin Robillard,POLITICS,covers
7,economy,Dave Jamieson,is written by
8,Elyse Wanshel,POLITICS,covers
9,Elyse Wanshel,SPORTS,covers
10,Dave Jamieson,POLITICS,covers
11,Dave Jamieson,BUSINESS,covers
12,Nathalie Baptiste,POLITICS,covers
13,ACACIA CORONADO,POLITICS,covers
14,Jessica Schulberg,POLITICS,covers
15,democrats,Kevin Robillard,is written by
16,democrats,Nina Golgowski,is written by
17,democrats,Daniel Marans,is written by
18,democrats,Ryan Grenoble,is written by
19,democrats,Dave Jamieson,is written by
20,democrats,Igor Bobic,is written by
21,democrats,David Moye,is written by
22,democrats,Jonathan Cohn,is written by
23,democrats,Sanjana Karanth,is written by
24,democrats,Alanna Vagianos,is written by
25,democrats,Nick Visser,is written by
26,democrats,Mary Papenfuss,is written by
27,democrats,Lydia O'Connor,is written by
28,democrats,Sara Boboltz,is written by
29,democrats,Jessica Schulberg,is written by
30,democrats,Chris D'Angelo,is written by
31,democrats,Ron Dicker,is written by
32,democrats,Jennifer Bendery,is written by
33,democrats,Ed Mazza,is written by
34,Jennifer Bendery,POLITICS,covers
35,football,Ron Dicker,is written by
36,Daniel Marans,POLITICS,covers
37,CHRIS MEGERIAN,POLITICS,covers
38,republicans,Phillip Jackson,is written by
39,republicans,Mary Papenfuss,is written by
40,republicans,Sara Boboltz,is written by
41,republicans,Ed Mazza,is written by
42,republicans,Nathalie Baptiste,is written by
43,republicans,Marita Vlachou,is written by
44,republicans,Kevin Robillard,is written by
45,republicans,Nina Golgowski,is written by
46,republicans,Jonathan Nicholson,is written by
47,republicans,David Moye,is written by
48,republicans,Elyse Wanshel,is written by
49,republicans,S.V. Date,is written by
50,republicans,Ben Blanchet,is written by
51,republicans,Ryan Grenoble,is written by
52,republicans,Sanjana Karanth,is written by
53,republicans,Eric Tucker,is written by
54,republicans,Ron Dicker,is written by
55,republicans,Daniel Marans,is written by
56,republicans,Arthur Delaney,is written by
57,republicans,Jessica Schulberg,is written by
58,republicans,Alanna Vagianos,is written by
59,republicans,Lydia O'Connor,is written by
60,republicans,ACACIA CORONADO,is written by
61,republicans,Liz Skalka,is written by
