,source,target,relationship
0,biden,Marina Villenueve,is written by
1,biden,Jessica Gresko,is written by
2,biden,Christopher Mathias,is written by
3,biden,Amanda Terkel,is written by
4,biden,Lee Moran,is written by
5,biden,Sarah Ruiz-Grossman,is written by
6,biden,Farnoush Amiri,is written by
7,biden,Patrick Whittle,is written by
8,biden,Cara Anna,is written by
9,biden,Ricardo Alonso-Zaldivar,is written by
10,biden,Lisa Mascaro,is written by
11,biden,ZEKE MILLER,is written by
12,biden,Curt Anderson,is written by
13,biden,Michelle L. Price,is written by
14,biden,Philip Lewis,is written by
15,biden,Tara Golshan,is written by
16,biden,ANTHONY IZAGUIRRE,is written by
17,biden,Alexandra Jaffe,is written by
18,biden,Tim Sullivan,is written by
19,biden,Christopher Rugaber,is written by
20,biden,Akbar Shahid Ahmed,is written by
21,biden,Colleen Long,is written by
22,biden,Sebastian Murdock,is written by
23,biden,Josephine Harvey,is written by
24,biden,Mead Gruver,is written by
25,biden,Liza Hearon,is written by
26,biden,Alexander C. Kaufman,is written by
27,biden,Dominique Mosbergen,is written by
28,biden,STAN CHOE,is written by
29,biden,Laurie Kellman,is written by
30,biden,Elliot Spagat,is written by
31,biden,Matt O'Brien,is written by
32,biden,Stan Choe,is written by
33,biden,Nomaan Merchant,is written by
34,biden,Ellen Knickmeyer,is written by
35,biden,JEFFREY COLLINS,is written by
36,biden,Ja'han Jones,is written by
37,biden,Rowaida Abdelaziz,is written by
38,biden,Hayley Miller,is written by
39,biden,Molly Redden,is written by
40,biden,Alan Fram,is written by
41,biden,LOLITA C. BALDOR,is written by
42,biden,Matthew Lee,is written by
43,biden,Jonathan Lemire,is written by
44,biden,Ariel Edwards-Levy,is written by
45,biden,Carol Kuruvilla,is written by
46,biden,Curtis M. Wong,is written by
47,biden,Collin Binkley,is written by
48,biden,James LaPorta,is written by
49,biden,Zachary D. Carter,is written by
50,biden,Kimberley Richards,is written by
51,biden,Ryan J. Reilly,is written by
52,biden,Bill Barrow,is written by
53,biden,Matthew Daly,is written by
54,biden,Jeff Mason,is written by
55,biden,Mike Schneider,is written by
56,biden,Matt Fuller,is written by
57,biden,Michael Hobbes,is written by
58,biden,Jeremy Blum,is written by
59,biden,Jenna Amatulli,is written by
60,biden,David Crary,is written by
61,biden,Reuters Staff,is written by
62,biden,Emily Peck,is written by
63,biden,Hugo Greenhalgh,is written by
64,biden,Nadine White,is written by
65,biden,David Eggert,is written by
66,biden,David Bauder,is written by
67,biden,Edith M. Lederer,is written by
68,Marina Villenueve,POLITICS,covers
69,republicans,Josephine Harvey,is written by
70,republicans,ROB GILLIES,is written by
71,republicans,Amanda Terkel,is written by
72,republicans,Marina Fang,is written by
73,republicans,MARINA VILLENEUVE,is written by
74,republicans,PETER SMITH,is written by
75,republicans,Farnoush Amiri,is written by
76,republicans,Lee Moran,is written by
77,republicans,Travis Waldron,is written by
78,republicans,Vanessa Gera,is written by
79,republicans,Christopher Mathias,is written by
80,republicans,Sarah Ruiz-Grossman,is written by
81,republicans,Philip Lewis,is written by
82,republicans,Paul Blumenthal,is written by
