source,target,relationship
biden,Marina Villenueve,is written by
biden,Ben Blanchet,is written by
biden,Jessica Gresko,is written by
biden,Andy Campbell,is written by
biden,Mary Papenfuss,is written by
biden,Christopher Mathias,is written by
biden,David Moye,is written by
biden,Kevin Robillard,is written by
biden,Amanda Terkel,is written by
biden,Marita Vlachou,is written by
biden,Lee Moran,is written by
biden,Sarah Ruiz-Grossman,is written by
biden,Farnoush Amiri,is written by
biden,Nick Visser,is written by
biden,Arthur Delaney,is written by
biden,Patrick Whittle,is written by
biden,CHRIS MEGERIAN,is written by
biden,Cara Anna,is written by
biden,Ricardo Alonso-Zaldivar,is written by
biden,Lisa Mascaro,is written by
biden,Alanna Vagianos,is written by
biden,ZEKE MILLER,is written by
biden,Curt Anderson,is written by
biden,S.V. Date,is written by
biden,Michelle L. Price,is written by
biden,Philip Lewis,is written by
biden,Liz Skalka,is written by
biden,Lydia O'Connor,is written by
biden,Tara Golshan,is written by
biden,ANTHONY IZAGUIRRE,is written by
biden,Ed Mazza,is written by
biden,Sanjana Karanth,is written by
biden,Alexandra Jaffe,is written by
biden,Ron Dicker,is written by
biden,Tim Sullivan,is written by
biden,Christopher Rugaber,is written by
biden,Hilary Hanson,is written by
biden,Akbar Shahid Ahmed,is written by
biden,Ryan Grenoble,is written by
biden,Colleen Long,is written by
biden,Sebastian Murdock,is written by
biden,Josephine Harvey,is written by
biden,Mead Gruver,is written by
biden,Liza Hearon,is written by
biden,Alexander C. Kaufman,is written by
biden,Jessica Schulberg,is written by
biden,Dominique Mosbergen,is written by
biden,Dave Jamieson,is written by
biden,Chris D'Angelo,is written by
biden,Jonathan Cohn,is written by
biden,STAN CHOE,is written by
biden,Laurie Kellman,is written by
biden,Igor Bobic,is written by
biden,Jennifer Bendery,is written by
biden,Elliot Spagat,is written by
biden,Matt O'Brien,is written by
biden,Stan Choe,is written by
biden,Nomaan Merchant,is written by
biden,Sara Boboltz,is written by
biden,Ellen Knickmeyer,is written by
biden,Daniel Marans,is written by
biden,JEFFREY COLLINS,is written by
biden,Ja'han Jones,is written by
biden,Rowaida Abdelaziz,is written by
biden,Hayley Miller,is written by
biden,Molly Redden,is written by
biden,Alan Fram,is written by
biden,LOLITA C. BALDOR,is written by
biden,Matthew Lee,is written by
biden,Jonathan Lemire,is written by
biden,Ariel Edwards-Levy,is written by
biden,Carol Kuruvilla,is written by
biden,Curtis M. Wong,is written by
biden,Collin Binkley,is written by
biden,Elyse Wanshel,is written by
biden,James LaPorta,is written by
biden,Zachary D. Carter,is written by
biden,Kimberley Richards,is written by
biden,Ryan J. Reilly,is written by
biden,Bill Barrow,is written by
biden,Matthew Daly,is written by
biden,Jeff Mason,is written by
biden,Mike Schneider,is written by
biden,Eric Tucker,is written by
biden,Matt Fuller,is written by
biden,Nina Golgowski,is written by
biden,Michael Hobbes,is written by
biden,Jeremy Blum,is written by
biden,Jenna Amatulli,is written by
biden,David Crary,is written by
biden,Reuters Staff,is written by
biden,Emily Peck,is written by
biden,Hugo Greenhalgh,is written by
biden,Nadine White,is written by
biden,David Eggert,is written by
biden,David Bauder,is written by
biden,Edith M. Lederer,is written by
Marina Villenueve,POLITICS,covers
Ben Blanchet,POLITICS,covers
Ben Blanchet,CRIME,covers
republicans,Phillip Jackson,is written by
republicans,Josephine Harvey,is written by
republicans,Mary Papenfuss,is written by
republicans,Sara Boboltz,is written by
republicans,Ed Mazza,is written by
republicans,Nathalie Baptiste,is written by
republicans,ROB GILLIES,is written by
republicans,Marita Vlachou,is written by
republicans,Kevin Robillard,is written by
republicans,Amanda Terkel,is written by
republicans,Nina Golgowski,is written by
republicans,Marina Fang,is written by
republicans,Jonathan Nicholson,is written by
republicans,David Moye,is written by
republicans,MARINA VILLENEUVE,is written by
republicans,Elyse Wanshel,is written by
republicans,PETER SMITH,is written by
republicans,Farnoush Amiri,is written by
republicans,S.V. Date,is written by
republicans,Lee Moran,is written by
republicans,Ben Blanchet,is written by
republicans,Ryan Grenoble,is written by
republicans,Travis Waldron,is written by
republicans,Vanessa Gera,is written by
republicans,Sanjana Karanth,is written by
republicans,Eric Tucker,is written by
republicans,Ron Dicker,is written by
republicans,Christopher Mathias,is written by
republicans,Sarah Ruiz-Grossman,is written by
republicans,Daniel Marans,is written by
republicans,Arthur Delaney,is written by
republicans,Jessica Schulberg,is written by
republicans,Alanna Vagianos,is written by
republicans,Lydia O'Connor,is written by
republicans,ACACIA CORONADO,is written by
republicans,Liz Skalka,is written by
republicans,Chris D'Angelo,is written by
republicans,Philip Lewis,is written by
republicans,Paul Blumenthal,is written by
republicans,Amy Taxin,is written by
republicans,Zeke Miller,is written by
republicans,Sam Metz,is written by
republicans,Igor Bobic,is written by
republicans,Nick Visser,is written by
republicans,Michael R. Sisick,is written by
republicans,Akbar Shahid Ahmed,is written by
republicans,David Bauder,is written by
republicans,Jennifer Bendery,is written by
republicans,JOSH BOAK,is written by
republicans,Tara Golshan,is written by
republicans,David Klepper,is written by
republicans,Steve Peoples,is written by
republicans,Aamer Madhani,is written by
republicans,Jake Bleiberg,is written by
republicans,FARNOUSH AMIRI,is written by
republicans,Ryan J. Reilly,is written by
republicans,Samantha Lachman,is written by
republicans,FREIDA FRISARO,is written by
republicans,James Anderson,is written by
republicans,Michael Balsamo,is written by
republicans,Ashraf Khalil,is written by
republicans,Kelli Kennedy,is written by
republicans,Brian Slodysko,is written by
republicans,JAMES ANDERSON,is written by
republicans,Alan Fram,is written by
republicans,Sean Murphy,is written by
republicans,Acacia Coronado,is written by
republicans,Michael R. Sisak,is written by
republicans,Rowaida Abdelaziz,is written by
republicans,Nomaan Merchant,is written by
republicans,ELAINE GANLEY,is written by
republicans,By Colleen Long,is written by
republicans,Sara Burnett,is written by
republicans,Kathy Gannon,is written by
republicans,Kimberlee Kruesi,is written by
republicans,Alexander C. Kaufman,is written by
republicans,Curtis M. Wong,is written by
republicans,Hilary Hanson,is written by
republicans,Andrew DeMillo,is written by
republicans,Dave Jamieson,is written by
republicans,Elise Foley,is written by
republicans,DAVID BAUDER,is written by
republicans,Jill Colvin,is written by
republicans,Ja'han Jones,is written by
republicans,MICHAEL BALSAMO,is written by
republicans,Michael Kunzelman,is written by
republicans,MARY CLARE JALONICK,is written by
republicans,Hayley Miller,is written by
republicans,Lisa Mascaro,is written by
republicans,Elliot Spagat,is written by
republicans,Collin Binkley,is written by
republicans,Garance Burke,is written by
republicans,The Associated Press,is written by
republicans,Hope Yen,is written by
republicans,JOHN HANNA,is written by
republicans,Sebastian Murdock,is written by
republicans,By CASEY SMITH,is written by
republicans,SARAH RANKIN,is written by
