headline,category,authors,date
NY Gun Applicants Will Soon Have Social Media Accounts Screened,POLITICS,"Marina Villenueve and Maysoon Khan, AP",2022-07-08
Tucker Carlson Points Finger At Women And Weed For Latest Mass Shooting,POLITICS,Ben Blanchet,2022-07-06
Patrick Lyoya’s Death Casts A Light On How Police Mishandle Traffic Stops,POLITICS,Phillip Jackson,2022-07-05
Rep. Lauren Boebert's Terrible Take On Denmark Shooting Slammed As 'Deadly' Stupid,POLITICS,Josephine Harvey,2022-07-05
"There's 'Ample Probable Cause To Charge Trump,' Says Ex-Cop Wounded In Insurrection",POLITICS,Mary Papenfuss,2022-07-03
"Girl, 10, Reportedly Forced To Travel Out Of State For Abortion",POLITICS,Mary Papenfuss,2022-07-03
"Supreme Court Shakes Nation To Core, Has No Plans To Ease Up",POLITICS,"By Mark Sherman, AP",2022-07-02
Florida Pediatrician Axed From State Board For Pro-Vaccine Comments,POLITICS,Sara Boboltz,2022-07-02
"'Tiger King' Star Charged With Animal Trafficking, Money Laundering",CRIME,Ben Blanchet,2022-07-01
Supreme Court Rules Biden Properly Ended Trump's 'Remain In Mexico' Policy,POLITICS,"Jessica Gresko, AP",2022-06-30
Ex-Aide Releases Melania Trump's Revealing 1-Word Text Message From Jan. 6,POLITICS,Ed Mazza,2022-06-29
The GOP’s Anti-LGBTQ Hysteria Is Spreading To Family Drag Shows,POLITICS,Nathalie Baptiste,2022-06-28
'Truth Hurts': Arizona's Republican AG Tells Hecklers To 'Shut The Hell Up',POLITICS,Josephine Harvey,2022-06-27
Canada Will Allow Americans To Cross The Border For Abortions: Trudeau,POLITICS,"ROB GILLIES, AP",2022-06-25
Truck Driver Rams Into Abortion Rights Demonstrators At Roe Rally In Iowa,POLITICS,Andy Campbell and Alanna Vagianos,2022-06-25
Roe v. Wade: Supreme Court Overturns Landmark Ruling Protecting Abortion Rights,POLITICS,"Elise Foley, Sara Boboltz, and Paul Blumenthal",2022-06-24
"After Bashing 'Woke' Americans, Steve Bannon Hails A Trump-Backing 'Army Of The Awakened'",POLITICS,Mary Papenfuss,2022-06-24
"Clarence Thomas: Supreme Court Could Now Restrict Marriage Equality, Contraception",POLITICS,Marita Vlachou and Amanda Terkel,2022-06-24
Republicans Are Making It Clear They Want To Ban Abortion Nationwide,POLITICS,Kevin Robillard,2022-06-24
Rep. Marjorie Taylor Greene Tells Reporter To ‘Go Back To Your Country’,POLITICS,Josephine Harvey,2022-06-23
"Steve Bannon Blasts Murdoch, Saying His Media Empire Is Dumping Trump For DeSantis",POLITICS,Mary Papenfuss,2022-06-23
Herschel Walker Says There Are 52 States,POLITICS,Amanda Terkel,2022-06-22
Woman Allegedly Being Held Hostage Gets Rescued Thanks To Grubhub Note,CRIME,David Moye,2022-06-22
NFL Seeks Arbitration For Flores' Racial Discrimination Suit,SPORTS,"LARRY NEUMEISTER, AP",2022-06-22
7 Major Takeaways From The Jan. 6 Committee's Fourth Hearing,POLITICS,Sara Boboltz and Lydia O'Connor,2022-06-21
Ginni Thomas-Linked Group Spread Election Lies At Event 2 Months After Jan. 6 Riot,POLITICS,Marita Vlachou,2022-06-21
Trump Continues Push To Shut Down Voting Methods 69% of Americans Use,POLITICS,Mary Papenfuss,2022-06-20
Ex-Watergate Prosecutor Says Georgia Probe Is The One That Could 'Send Trump To Jail',POLITICS,Josephine Harvey,2022-06-20
An Elite Christian College Has Become The Latest Battleground In America’s Culture Wars,POLITICS,Jonathan Cohn,2022-06-19
Rants By Herschel Walker's Son On Absent Fathers Go Viral At Awkward Moment,POLITICS,Mary Papenfuss,2022-06-18
Rep. Eric Swalwell Would Love To Give Trump Equal Time On Jan. 6 Probe — Under Oath,POLITICS,Mary Papenfuss,2022-06-18
The Far-Right’s Assault On An Idaho Pride Event Was Meticulously Planned,POLITICS,Christopher Mathias,2022-06-18
Twitter Users Mock Peter Navarro's Desire To Postpone Trial Because Of Book Tour,POLITICS,David Moye,2022-06-17
"Herschel Walker, After Disparaging Absent Dads, Now Says He Has 4 Kids",POLITICS,Nina Golgowski,2022-06-16
Obama Marks DACA’s 10th Anniversary In Conversation With Dreamers,POLITICS,Marina Fang,2022-06-15
"After Defying Trump, GOP Rep. Tom Rice Loses Reelection In South Carolina",POLITICS,Jonathan Nicholson,2022-06-15
Mehmet Oz Misspells Pennsylvania Address On Candidacy Form And Twitter Has Jokes,POLITICS,Ron Dicker,2022-06-14
